,Unnamed: 0,id,loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price,distance_park,distance_md,distance_gn
1006,1006,560e51407d8b282d1b47636e,"[127.07001878081363, 37.541669336873156]",원룸,16.5,2,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,False,False,5550.0,1.16047718384,12.1004821772,7.9951693786
1007,1007,57f1fdf37623280735ddde50,"[127.0704809516, 37.547017393]",원룸,16.5,3,3,False,False,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,False,8800.0,1.6552281377,12.0812358828,8.28578486103
1008,1008,57ce2e1b34a0dd13344c4af1,"[127.08800376003451, 37.54018687194404]",원룸,23.1,2,4,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5200.0,2.17452104059,14.1465931161,9.79476139964
1009,1009,57e8c5c3295f6804acc45e7d,"[127.08255776615938, 37.54320014324728]",투룸,42.9,1,5,True,False,개별 난방,False,True,False,False,False,False,False,False,False,True,False,False,False,False,9800.0,2.00414787241,13.4922130404,9.33587445197
1010,1010,57cf83703094736b083f8003,"[127.08466668486905, 37.542946370199104]",투룸,42.9,4,10,True,True,개별 난방,False,True,True,False,False,False,False,True,False,False,True,False,True,False,25600.0,2.17921571407,13.7335573322,9.54466269344
1011,1011,57cf82ecf78b77706c7e3127,"[127.0661869886, 37.5437222215]",투룸,49.5,2,4,False,False,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,False,False,8600.0,1.38711040708,11.639011274,7.71002814338
1012,1012,57e3829f1f69fd488e502cf4,"[127.07404559671488, 37.544816774165625]",원룸,21.4,5,5,False,False,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,True,False,7000.0,1.54958011382,12.5105958859,8.53679785588
1013,1013,561231948fb5fd1c2867d24b,"[127.06903450070293, 37.544282814601296]",원룸,19.8,6,6,False,False,개별 난방,False,True,True,True,False,True,False,True,True,True,False,False,True,False,6400.0,1.39681447134,11.9520808547,8.01534562412
1014,1014,57e0dfa67f449835128f6a7a,"[127.0693623931, 37.5415580003]",원룸,19.8,3,5,False,False,개별 난방,False,True,True,False,False,False,False,False,True,False,True,False,True,False,7500.0,1.14630296432,12.0283966244,7.92453415085
1015,1015,57e386fa077c26707dae3048,"[127.06655012435512, 37.54488971230887]",원룸,19.8,4,5,True,False,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,False,6500.0,1.48265506269,11.6637361881,7.80141126063
1016,1016,56bc70d6c24fa9587937d53d,"[127.07164409693264, 37.546865325200024]",오피스텔,26.4,7,12,True,True,개별 난방,True,True,True,False,True,True,False,True,True,True,False,False,True,False,9000.0,1.65875939047,12.2145440279,8.39227490803
1017,1017,57d0be845cc91142eb9f15fa,"[127.0713259981812, 37.54555366340754]",투룸,42.9,1,3,False,False,개별 난방,False,True,False,False,False,False,False,False,False,True,False,False,False,False,9000.0,1.53373765447,12.1942299114,8.29992394745
1018,1018,57e8fdd7754e0d424c198114,"[127.0699988021156, 37.544505694706935]",원룸,18.1,3,5,False,False,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,6500.0,1.42050024585,12.0578506715,8.1206760569
