loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
"[127.01664336616349, 37.566037489131276]",원룸,29.7,5,22,True,False,개별 난방,True,True,True,False,False,True,False,True,True,False,True,False,True,False,9800.0
"[127.0002671171575, 37.563299633404846]",투룸,36.3,14,20,True,False,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,16300.0
"[127.01129062973908, 37.55846614695276]",투룸,39.6,3,5,True,False,개별 난방,False,True,False,False,False,False,False,False,False,True,False,False,True,False,21300.0
"[126.96822769418286, 37.56081941992014]",1.5룸,49.5,5,39,True,True,개별 난방,False,True,True,False,False,True,False,False,True,True,False,False,True,True,16200.0
"[127.0081259781, 37.5566536006]",원룸,23.1,-1,2,False,False,개별 난방,True,False,True,False,False,True,False,False,False,True,False,False,False,False,2300.0
"[127.02327190613819, 37.56658417415583]",오피스텔,23.0,2,19,True,False,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,False,8200.0
"[127.00525643301731, 37.56487445826573]",오피스텔,42.9,7,15,True,True,중앙 난방,True,True,False,False,False,False,False,False,False,False,False,False,False,False,11500.0
"[126.9679315269536, 37.565241430418425]",원룸,26.4,4,19,True,True,개별 난방,False,True,True,True,False,False,True,True,True,True,False,True,False,True,14200.0
"[127.02262869582822, 37.56562563945197]",오피스텔,26.4,9,15,True,True,개별 난방,True,True,True,False,False,True,False,True,True,True,False,False,True,False,7000.0
"[127.0063657333, 37.5655988046]",오피스텔,29.7,9,10,True,True,중앙 난방,True,True,True,False,False,False,False,True,False,True,False,False,True,False,11000.0
"[127.01664336616349, 37.566037489131276]",오피스텔,28.6,10,22,True,True,개별 난방,False,True,True,False,True,True,False,True,True,True,True,True,True,False,10100.0
"[127.0002671171575, 37.563299633404846]",1.5룸,37.0,12,20,True,True,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,True,15200.0
"[127.01244915734785, 37.555975673755604]",아파트,23.1,3,10,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,14000.0
"[127.00345430491531, 37.56094978398048]",원룸,25.7,4,4,True,False,개별 난방,False,True,True,True,True,True,True,True,True,False,True,True,True,False,8500.0
"[127.00181998756223, 37.562023808576484]",원룸,33.0,4,6,False,True,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11000
"[127.010539203, 37.5589960027]",투룸,39.6,1,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7000
"[127.01721778837357, 37.5635182213605]",투룸,39.6,3,5,True,True,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,23200.0
"[127.01664336616349, 37.566037489131276]",원룸,28.6,3,22,True,True,개별 난방,False,True,True,False,False,False,False,False,True,False,True,True,True,False,9200.0
"[127.0122734563, 37.5611618318]",1.5룸,19.8,1,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,True,False,False,True,False,4500
"[127.0220365221354, 37.56880086076568]",쓰리룸,79.2,3,4,True,False,개별 난방,True,False,False,False,False,False,False,True,False,False,False,False,False,False,33000
"[127.02332120759665, 37.56497318349817]",오피스텔,21.4,16,17,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,8200.0
"[127.01664336616349, 37.566037489131276]",오피스텔,24.6,7,22,True,True,개별 난방,False,True,True,False,False,True,True,True,True,False,True,True,True,True,9400.0
"[127.01664336616349, 37.566037489131276]",원룸,35.1,8,22,True,True,개별 난방,False,True,True,False,False,True,False,False,True,False,True,True,True,False,11600.0
"[127.02226295107286, 37.56894137359322]",원룸,16.5,3,5,True,True,개별 난방,False,True,True,True,True,True,False,True,True,False,False,False,True,False,4500.0
"[127.0002671171575, 37.563299633404846]",오피스텔,23.1,8,20,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,8600.0
"[127.02165182889021, 37.56937036112768]",1.5룸,33.0,5,10,True,True,개별 난방,True,True,True,False,False,False,False,True,True,True,False,False,True,False,11200.0
"[127.0130024855, 37.5619510269]",투룸,39.6,3,4,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7000
"[127.0085466247365, 37.55345683101177]",원룸,23.1,3,5,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,7600.0
"[127.0002671171575, 37.56329963340485]",원룸,23.1,20,20,True,True,개별 난방,False,True,True,True,True,True,True,True,True,True,True,True,True,True,10800.0
"[127.00181105599908, 37.56710903154925]",원룸,19.8,7,13,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,False,False,6600.0
"[127.0106068266561, 37.55699578278229]",1.5룸,34.6,2,5,False,False,개별 난방,False,True,True,False,False,True,True,True,True,True,False,False,False,False,11100.0
"[127.0002671171575, 37.563299633404846]",1.5룸,37.0,15,20,True,True,개별 난방,True,True,True,False,False,True,False,True,True,False,True,False,False,True,16200.0
"[127.02262869582822, 37.56562563945197]",오피스텔,26.4,6,15,False,True,개별 난방,True,True,True,False,False,True,False,True,True,False,True,False,True,False,7100.0
"[127.0002671171575, 37.563299633404846]",오피스텔,37.0,12,20,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,23200.0
"[127.0002671171575, 37.563299633404846]",오피스텔,23.1,12,20,True,True,개별 난방,False,True,True,True,False,False,False,False,False,False,False,False,False,False,8800.0
"[127.02332120759665, 37.56497318349817]",오피스텔,21.4,14,17,True,True,개별 난방,True,True,True,False,False,True,False,True,True,False,True,False,True,False,10700.0
