week1_pop,comp_score,rank1,rank2,rank3,rank4,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,director_score,act_score,pre_score,viewer_num,like_see,screen1
829,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3,94,2
1498,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.57,21,210,21
1360,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7.5,12,166,15
2283,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.33,3,51,20
1711,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,8,5,358,26
1718,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1600,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9.2,47,247,14
2089,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.04,26,259,29
1507,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.71,14,216,12
1729,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,8.89,28,719,20
1038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,8,38,20
1186,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,6,110,17
837,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.76,17,191,11
1092,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.12,346,418,7
798,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.38,16,486,11
3533426,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,96,431,8.26,552,14152,820
842,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,10,118,10
1548,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8.96,26,142,11
877500,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,9.61,31,223,24
837,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.55,20,151,16
1177,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,371,9,19,286,17
1201,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.33,9,135,15
1202,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6.09,139,316,20
1192,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.96,28,252,4
1220,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.43,7,51,1
1092,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.33,24,194,4
1170,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,7.73,30,284,12
1326,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,25,20
1426,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,9.62,73,619,9
1215,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,9.65,48,286,20
654,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,6,54,9
1276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,32,362,3
